cik,original,cloned
1466538,34.9,164.4
1431431,74.1,202.5
1113629,-17.5,-12.5
1507683,7.5,9.9
769954,-30.8,-11.4
1542421,31.8,28.1
1608046,163.6,8.9
1352512,0.1,1.8
872163,-23.3,-19.5
1697597,6.6,6.0
1329883,-8.1,-2.2
1490429,85.2,3.4
1511144,-0.2,2.5
1730960,42.7,42.6
1321219,-20.1,-24.5
1811491,14.3,31.9
1603465,21.6,12.6
1512538,27.5,46.4
1736260,18.7,4.8
1766510,10.8,16.6
1603001,-5.6,6.9
1632574,18.4,26.5
1686278,17.9,-39.0
1700530,-27.4,-24.6
1750086,18.4,7.8
1387818,-1.4,11.2
1742315,-9.5,2.6
1627436,21.0,37.9
1549230,51.8,45.3
1378410,-17.6,79.4
1697767,14.3,16.2
71259,-6.0,-8.2
1599084,1.4,2.7
1501542,-9.9,-3.8
1512367,30.3,39.0
1007399,81.9,103.6
1353254,-22.4,-22.3
1697303,2.3,93.3
937615,-3.4,-1.7
869179,-15.1,-12.1
1121943,-38.1,-65.5
1536562,84.3,218.8
1808919,-3.7,216.4
1723925,12.6,17.0
1316466,-20.2,-22.1
1786767,54.8,51.6
1415030,-26.1,18.8
1318153,150.8,-71.5
1698146,1.9,4.6
1511985,2.7,8.4
1703383,1.5,6.6
1523847,0.0,13.0
1056504,-38.8,-36.0
1524408,-3.1,-6.3
1034184,13.9,12.8
938206,-1.8,1.7
1580162,17.7,42.4
1082917,-0.6,-3.9
1582635,-15.3,-10.9
1536139,2.1,8.7
919185,-2.9,3.1
1165002,-12.9,-9.0
1801097,-3.1,8.1
1658535,52.5,57.5
1008322,-8.0,-12.8
1543536,9.6,13.2
1644956,-9.4,-5.1
898286,-9.3,-0.4
1604488,38.3,9.2
1792704,49.2,34.6
1658363,32.6,38.2
1564770,-9.3,-1.7
1356513,-3.0,-3.6
1475770,-25.7,-3.4
1790295,-14.3,-11.0
949853,-20.2,54.4
1553562,-9.5,-6.2
1538853,36.4,62.7
1806428,24.4,15.6
1431256,0.5,39.3
1365167,-24.3,301.1
750641,22.9,21.6
1593324,23.9,35.1
1691804,29.3,43.1
1495703,-1.9,0.6
1362987,-17.3,-5.7
1123274,59.7,62.9
1634222,4.5,3.0
1157765,-6.2,-5.4
1651473,-2.9,5.6
1582090,13.2,7.8
1004140,6.2,201.6
89014,-22.1,-15.9
21175,-16.0,-18.4
1629931,13.3,30.8
1582202,9.4,0.2
1802473,17.6,24.1
1534259,3.4,25.8
1297731,-23.8,-23.8
1732007,14.8,13.4
1657516,6.1,11.3
1802225,-11.1,0.2
1749798,7.8,16.5
1591271,-29.3,-37.4
1320168,3.2,17.9
1013701,-5.5,-2.0
1800586,-7.3,235.4
719245,-15.3,20.3
1697539,-15.3,-11.7
1722053,199.2,38.0
1016287,-11.0,-11.1
1731444,72.6,37.3
1733777,200.9,157.7
1581641,6.2,79.5
1354821,-19.5,52.5
1527488,-10.2,93.3
1166620,-6.0,-9.1
1670139,53.0,84.4
1314150,-47.2,19.3
1500605,-10.4,-2.6
811454,-17.6,-14.3
1706669,5.4,8.8
1740840,24.1,55.6
1512596,41.0,272.0
1389574,-10.6,2.2
1673922,-15.0,-10.2
1137881,1.4,-7.9
1535172,0.5,-0.4
1602189,28.8,59.8
1598561,5.7,9.4
1119376,-5.4,-2.8
1455915,50.9,171.4
860857,-2.6,141.9
1626116,-0.4,16.7
1713521,-0.2,1.9
1731671,3.8,37.0
1568787,23.8,26.0
1539919,39.9,34.4
1596053,15.7,62.3
1327944,4.9,6.0
714562,-10.3,0.2
1037558,0.1,2.7
1548179,86.1,115.0
1335644,4.7,15.3
1598102,-6.9,-5.2
1791126,4.5,30.9
1250731,-3.1,53.5
1601539,-5.8,4.4
883803,-4.1,-0.2
1534261,23.7,29.4
1690186,34.3,55.5
1759364,-20.7,-12.7
1779763,6.1,21.3
1792565,-0.4,5.1
1349138,92.8,4.1
1633857,13.0,15.4
1110806,-17.3,81.9
1696615,22.9,24.7
1725247,9.1,85.4
1386364,-7.5,1.8
1475940,5.4,16.1
1390457,7.0,113.9
1566089,4.7,25.4
1476993,55.8,64.5
1365559,-3.6,-0.3
1567993,0.2,9.3
1802670,12.8,13.5
1473429,5.5,8.2
1021296,-6.9,-8.5
1735445,11.3,25.3
1370629,-10.5,-4.6
1598550,-3.2,8.4
1278951,41.7,76.6
1482970,-1.1,2.4
1056559,-4.1,4.3
1755933,17.0,16.0
1270764,-9.6,-0.9
1633861,5.2,6.0
1729673,7.9,5.9
1784260,-4.3,-1.8
1091561,92.1,-13.7
1607866,2.0,4.8
1034549,-15.4,-19.3
1352122,-8.2,-2.1
1682475,-1.0,-1.5
1740871,17.7,-22.9
1418329,-3.0,-1.5
1563530,19.4,0.4
897293,-18.3,-19.2
1678953,48.0,82.5
1091559,18.0,158.4
1760472,10.2,19.5
11544,20.6,79.5
1632715,-2.4,-1.2
1411268,-0.9,101.7
1105344,-10.4,-3.2
1579254,-8.8,-2.7
1455924,-4.0,-18.8
1765590,-2.1,-9.1
1550188,7.4,-14.1
1053013,8.8,37.0
1736465,44.9,54.1
315014,-4.4,-1.2
1772715,18.3,94.5
1286478,55.1,128.7
1552426,2.9,1.7
1276460,-8.3,17.0
1427351,-4.3,1.2
1638022,7.5,7.2
1422849,-6.7,9.4
1128251,-22.3,-20.7
102909,2.7,52.5
1567163,2.0,4.1
1697366,20.0,2.6
1325083,1.3,18.2
1444055,-7.1,-6.1
1608485,-33.7,70.9
1021926,-6.3,0.3
1455267,2.2,37.3
1038661,7.7,4.0
1535660,-8.9,-7.7
1714678,-4.1,-1.7
1759485,16.8,204.0
1535452,-21.8,-20.3
826154,-11.0,-3.3
1739594,33.7,92.1
39263,-1.1,33.2
1568891,-19.5,-21.9
1274413,-22.2,-13.3
1027817,-5.2,83.4
1216093,-39.2,-30.4
1130787,-17.0,-12.6
1573876,26.6,26.9
1722117,2.0,8.3
1673633,6.7,11.2
1455258,3.9,11.5
1764968,6.8,10.4
1698051,51.6,-0.3
1772031,17.8,77.5
1105838,-1.6,43.1
1480751,-1.2,12.8
1454984,-4.5,3.7
1664214,12.1,37.1
1564835,-27.3,-19.6
1409775,-7.5,199.1
1717658,6.6,17.7
1765278,2.9,4.3
1550660,-10.2,-5.1
1601489,-9.1,-10.5
1759476,8.2,8.1
1423442,-5.7,3.9
860580,-8.1,-2.1
1344551,10.1,5.3
1456075,-7.5,-6.4
1450144,115.1,142.1
943442,4.7,7.4
1792283,39.0,38.8
1362255,-16.5,-13.1
1368905,-4.2,-4.1
1541349,85.2,90.9
1767346,6.0,10.9
1569147,-3.9,-1.0
1659997,-12.5,-10.2
1802530,10.8,11.4
1591590,-8.1,-2.5
895213,21.6,22.2
1167483,-1.2,3.5
74260,5.1,12.0
1665751,21.9,22.1
1006364,-6.7,5.0
1802961,-13.3,14.6
1411784,-14.2,-15.1
1088950,5.7,38.8
1536444,-8.2,11.5
1251557,-6.9,9.1
1062842,-7.1,0.5
1731358,-3.4,-4.3
1568068,20.4,16.3
1683073,64.2,55.5
1793367,4.4,50.5
921669,-17.1,32.1
1698094,-10.0,36.6
1706511,-9.2,14.2
1432539,5.7,7.5
1614704,-8.0,104.4
1600136,13.3,16.7
1727454,17.8,5.5
1280051,-17.1,-13.4
1767384,4.6,11.2
1007280,-9.8,-6.0
1737090,-1.7,-3.4
1518320,-7.6,-6.2
