cik,alpha,beta,ariMeanRt,geoMeanRt,cagr,sharpe,sortino,annVol,maxDD,annExcessReturn,TE,IR
1317208,-15.1,1.283,-0.5,-0.5,-5.3,-0.08,-0.051,31.3,-32.94,-12.3,13.5,-0.911
1406995,0.1,0.938,11.3,11.8,7.4,0.3,1.009,31.0,-16.46,-0.5,14.3,-0.035
1511098,13.1,1.274,27.8,30.8,28.2,1.2,3.456,21.5,-14.66,15.8,7.3,2.164
1617516,1.4,6.455,59.4,74.0,38.0,0.643,2.232,89.3,-42.14,48.8,42.1,1.159
853758,61.9,-0.078,63.0,79.5,39.7,0.688,1.38,88.6,-60.94,48.8,45.1,1.082
883511,-11.7,0.964,0.1,0.1,-3.5,-0.069,-0.032,27.8,-20.53,-12.1,12.2,-0.992
1653202,59.6,-0.888,51.8,62.7,19.1,0.361,2.25,138.0,-42.53,38.7,70.0,0.553
1354739,35.2,-0.18,35.4,40.4,22.8,0.54,1.148,61.8,-53.87,23.6,31.7,0.744
1415912,-0.9,1.265,13.6,14.3,6.4,0.283,0.597,41.0,-44.89,1.7,19.0,0.089
1783139,253.0,-0.396,250.5,599.6,121.1,0.631,10.936,394.0,-33.18,237.3,197.3,1.203
1633313,22.2,0.589,29.8,33.3,17.9,0.465,1.631,59.8,-34.81,18.2,29.8,0.611
1774552,28.7,0.941,39.7,46.0,44.0,2.102,13.465,17.9,-4.15,28.1,5.3,5.302
1584087,-17.0,1.657,0.8,0.8,-14.1,-0.023,0.008,54.9,-70.55,-10.8,26.0,-0.415
1454946,-31.5,6.262,28.2,31.3,-44.0,0.19,0.568,137.5,-86.95,17.0,67.7,0.251
1785498,11.5,0.659,20.2,21.8,8.8,0.415,0.473,43.9,-55.64,8.0,21.6,0.37
1735734,6.7,0.93,17.5,18.6,15.9,0.719,0.79,21.5,-24.61,6.1,8.4,0.726
1368163,214.2,-2.1,196.5,394.4,23.2,0.327,4.688,594.5,-89.38,185.0,297.6,0.622
1697847,12.2,0.949,23.1,25.2,23.9,1.416,2.823,14.9,-10.78,11.7,3.5,3.343
1630360,39.6,-0.818,33.9,38.4,18.2,0.476,0.914,67.0,-49.27,22.4,35.2,0.636
941519,9.6,0.921,23.4,25.6,23.7,1.189,2.402,18.0,-11.18,8.6,5.5,1.564
1763121,67.8,2.735,97.6,139.5,35.3,0.68,2.269,140.5,-72.32,85.4,68.7,1.243
