cik,alpha,beta,ariMeanRt,geoMeanRt,cagr,sharpe,sortino,annVol,maxDD,annExcessReturn,TE,IR
1602189,28.8,1.64,46.9,55.8,42.3,0.982,1.817,45.7,-50.16,35.1,19.5,1.8
1598561,5.7,0.544,13.5,14.2,12.7,0.694,0.988,16.5,-20.25,0.8,8.0,0.1
1119376,-5.4,0.572,3.2,3.3,-17.3,0.018,0.11,67.0,-54.07,-10.3,33.4,-0.308
1455915,50.9,0.157,54.6,66.8,35.5,0.759,1.626,69.3,-61.66,41.5,35.5,1.169
860857,-2.6,0.985,9.7,10.1,8.8,0.511,0.769,15.2,-21.1,-2.8,2.1,-1.333
1626116,-0.4,0.812,9.9,10.2,4.8,0.23,0.524,34.3,-25.01,-2.4,16.0,-0.15
1713521,-0.2,0.712,9.7,10.1,7.0,0.322,0.674,23.9,-24.84,-3.4,10.4,-0.327
1731671,3.8,0.681,13.3,14.0,8.5,0.351,0.689,32.3,-32.58,0.2,15.2,0.013
1568787,23.8,1.772,44.4,52.4,35.6,0.686,2.428,61.8,-28.86,31.9,28.5,1.119
1539919,39.9,1.698,59.8,74.5,44.3,0.72,2.215,80.2,-40.48,47.3,38.4,1.232
1596053,15.7,-1.092,7.0,7.2,-4.1,0.103,0.332,48.2,-38.15,-4.9,28.0,-0.175
1327944,4.9,-0.099,5.8,5.9,0.5,0.111,0.231,34.5,-45.26,-7.1,19.3,-0.368
714562,-10.3,0.73,-0.6,-0.6,-1.7,-0.177,-0.096,14.7,-20.82,-13.1,5.5,-2.382
1037558,0.1,0.763,10.1,10.5,9.1,0.524,0.66,15.5,-27.36,-2.4,5.6,-0.429
1548179,86.1,-0.464,83.6,113.7,42.3,0.5,2.933,163.3,-47.68,71.9,82.5,0.872
1335644,4.7,0.855,15.8,16.7,14.4,0.659,1.159,20.9,-20.2,3.2,8.7,0.368
1598102,-6.9,1.857,13.2,13.8,7.0,0.266,0.771,42.0,-25.77,1.4,18.0,0.078
1791126,4.5,1.128,20.4,22.1,15.5,0.539,1.126,34.2,-26.4,6.1,14.5,0.421
1250731,-3.1,1.298,12.7,13.4,4.8,0.237,0.688,45.3,-34.44,0.1,19.8,0.005
1601539,-5.8,0.976,6.6,6.8,4.3,0.202,0.516,22.9,-19.58,-6.0,8.1,-0.741
883803,-4.1,1.421,15.6,16.5,11.2,0.408,0.968,33.3,-26.21,1.1,12.0,0.092
1534261,23.7,2.128,51.6,62.4,39.7,0.833,1.784,59.5,-46.97,37.4,25.3,1.478
1690186,34.3,0.402,42.7,50.0,21.4,0.581,1.365,70.0,-48.59,24.8,35.3,0.703
1759364,-20.7,1.799,0.9,0.9,-16.2,-0.02,0.012,55.4,-63.78,-12.0,23.4,-0.513
1779763,6.1,2.069,40.9,47.6,32.1,0.73,1.952,53.3,-28.23,23.0,22.1,1.041
1792565,-0.4,0.975,17.1,18.2,16.5,0.87,2.279,17.3,-13.24,-0.8,3.4,-0.235
1349138,92.8,0.305,98.0,140.3,12.6,0.332,1.888,288.9,-89.82,85.4,144.5,0.591
1633857,13.0,0.645,21.3,23.1,13.4,0.425,1.184,45.5,-32.01,9.5,22.3,0.426
1110806,-17.3,1.348,-1.1,-1.1,-3.9,-0.135,-0.088,23.0,-31.92,-13.6,6.2,-2.194
1696615,22.9,0.952,35.6,40.6,29.1,0.691,1.21,48.6,-42.97,22.4,22.8,0.982
1725247,9.1,0.922,20.9,22.6,20.6,1.034,1.648,18.3,-16.03,8.3,3.4,2.441
