ggroup,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
Energy,,-5.40569662832387,-3.0741870368584445,-2.7932032663588457,-0.15707618047859917,0.3030264386766124,0.8858436800306513,0.891351090753989,0.8540172186561557,2.0522996657561965
Materials,,-2.557696540177373,0.021453965918838414,1.4167670279673583,2.5565660203714646,1.627666566109509,,,,
Capital Goods,-7.936737114742693,-1.9624802891599569,0.1614393593406538,1.106989132244185,3.426029762729099,2.5715389715299075,3.1859207807557466,4.002788449033701,3.4586817438105433,2.0540057772680864
Commercial & Professional Services,-1.8334095261998806,-4.961240993633082,0.6006635260919602,0.7555038175979134,2.298508915104147,4.128587539861561,3.8513302739016986,2.988168030996885,1.4952158326885567,1.9262839705376567
Transportation,-3.0505756859001476,-1.766476050397081,0.6192535278815914,1.185390453836943,2.353904031219467,2.5151999132110747,0.7972450752294913,1.441717342250759,1.0350613502337902,-0.7961021446106109
Automobiles & Components,-11.9258706851538,-8.571484927554195,-1.4971784213093087,2.1130664628172147,4.37940724919077,0.832293190694644,2.878026276750867,2.358950620019895,2.038019002183178,0.635338738723612
Consumer Durables & Apparel,-4.085248964995081,0.0,0.035030052673556966,0.7972211980343258,3.0284382554495393,2.311028388331504,2.685104083224754,2.367915250742514,1.8407575398677878,1.7664851784634061
Consumer Services,-5.745795432825689,0.0,1.1448105986486823,0.0,0.7516495212385399,-0.27677470974735163,1.1913958454063511,1.6737948835359284,2.6744010431136056,1.606371046839583
Media,-22.669830298653736,-1.4999887525850852,-4.0334214986723405,0.903507373944179,3.5271148560125365,-1.9839701604354942,3.629495742219846,-1.2746391582369898,0.3484249220616742,1.708184527794998
Consumer Discretionary Distribution & Retail,-0.43853974121996764,-0.10795227999268464,-0.018595541471366772,0.011136231680719533,1.1024303193934992,2.7641902404237695,2.2805009991168523,1.7894284049869702,2.288759353553116,1.9388658416754856
Consumer Staples Distribution & Retail,0.0,-0.6639164625499516,0.2967934868537858,2.1833617471373357,-0.8839961914114347,1.6686047333733023,0.17177430788095638,3.062567572550634,0.024520819145457118,2.0787588768967247
"Food, Beverage & Tobacco",-10.353113542860093,-2.951947297970059,0.18392859336301415,-0.22705552726697276,1.3479200360633659,2.604896901813014,4.0606780543701815,3.4358637682128212,1.421648183432822,1.2416206987679868
Household & Personal Products,-10.868228977771171,-7.721848366254076,-9.608076223410967,2.4539616321596958,1.5428391050645973,1.2787722238383648,0.29989915626280617,4.17855240865046,2.5952232145210585,2.002458928175155
Health Care Equipment & Services,-11.158861592037528,-7.14285714285714,-1.2745172861176823,-1.5885613578373814,1.2675339506436845,4.032246559341601,3.016152781037973,4.066161257711043,3.5531379816842623,2.6249531686884597
"Pharmaceuticals, Biotechnology & Life Sciences",,-8.050734143539884,-6.391256878273893,-5.327946452502907,-3.208241218816865,0.8720889912201546,3.447316881663509,3.3086243516823544,,
Banks,-2.5965392905344165,-2.5429067236415803,-0.8540193632202042,-0.572911041509161,1.5983849888812518,2.5851201735624274,-0.5083528390803727,2.292489189959057,1.2141974380211473,-0.4142012008939433
Financial Services,-0.5816747096087926,-0.32891423963648525,1.1891051371771932,1.296868384180272,2.1567197464156695,1.2230113611964244,2.8013679382332013,2.446089264156548,2.8241084548333184,3.0404314921083975
Insurance,0.0,1.3962325529863318,2.5448106703153117,0.6530012274779118,0.9720921683458172,1.7384584794847058,2.831759541217227,2.760860704679702,3.966058059594968,3.494096972260863
Unknown Group,-2.9460090618892765,-0.8190157331939452,-1.1904761904761973,-0.4971164712165299,3.25006046093137,-1.5470525542150115,2.6316543464557807,-0.12058938495465021,1.633098172271641,2.6949942119999015
Software & Services,-11.407132532264509,-3.730041442691517,-0.09878047456327588,0.37914788235141605,1.2154793574273626,1.8405717270055244,3.9693553544101645,3.463117592839815,4.018694049277716,3.809900429848301
Technology Hardware & Equipment,-3.939233742345649,-1.3331203748070175,0.0,0.4309025833754587,1.120781891442757,1.3215859030837107,1.6239196149047674,2.5697153851254484,1.7763940989095284,1.7844989847205728
Semiconductors & Semiconductor Equipment,-5.406018277058433,0.6032568448524733,-0.6537782028118777,0.888653035191278,1.9115628768481052,2.385528132550907,3.3148450285441555,4.315706205068737,3.225147564423514,4.0871095339733765
Telecommunication Services,0.0,-1.3066854200222244,3.8204339540641064,2.376130631710327,1.6713210870016648,1.881176964890896,-2.1574467143944007,-1.7527747869119814,1.95209749779931,2.9585925782779077
Media & Entertainment,-8.889020140570558,-6.191618114292141,-1.8493588538337158,-2.080711968509269,0.1425236329235524,-2.1428645497323595,1.4829851076374467,1.1736848390013432,1.4801650276243805,2.5386751612241243
Utilities,-2.5925504771372565,0.9161261462040327,2.2087472929753993,2.643760929285832,1.8986429499330826,1.7206029371982456,2.04106669208286,0.5659344049530279,1.7086643563290371,1.1128893203809387
REITs,0.0,3.213596075884828,4.0439153063872135,3.2586209398413724,2.534026338191908,3.241739441344449,2.827441147570342,1.4769480440126825,1.693560888408141,1.5830163274754172
Real Estate Management & Development,0.0,-0.7868440353874517,0.0,0.22314313037934408,-0.5597965412411254,1.308515707675717,2.7674244034690765,2.5439250768070965,0.7185496186530194,1.7117027828379872
